fok_20,novelty_20,bt,fail,log_cit_10
12.0,5.0,1.8729096989966554,21.20401337792642,2.6228723736487316
11.0,14.0,2.096317280453258,19.716713881019828,2.627626043701325
1.0,5.0,1.1066398390342052,20.774647887323944,2.5448716916396013
14.0,5.0,2.4503311258278146,20.264900662251655,2.5963499708385047
15.0,6.0,2.658045977011494,20.186781609195403,2.5852434160670987
19.0,6.0,2.7129337539432177,22.145110410094638,2.5195741169119645
15.0,5.0,2.606806661839247,20.56480811006517,2.56051126862143
3.0,6.0,2.1356113187399894,18.686599038974908,2.624506622148997
19.0,12.0,2.4539877300613497,21.288343558282207,2.5355127462231764
13.0,5.0,1.9404915912031047,19.728331177231563,2.5913196981599493
1.0,18.0,3.371970495258166,14.64699683877766,2.7773270245578594
3.0,17.0,2.908805031446541,16.9811320754717,2.7284758526623385
11.0,5.0,1.9288728149487642,20.373719107896324,2.6001887731789224
12.0,6.0,1.6139878950907869,21.72158708809684,2.534940462732977
18.0,6.0,1.6405135520684737,21.255349500713265,2.5295601801869285
14.0,12.0,2.184769038701623,23.72034956304619,2.5632158815468027
4.0,5.0,1.8794914317302378,18.51851851851852,2.614826268047537
2.0,17.0,3.3333333333333335,16.23931623931624,2.764473951093105
18.0,7.0,1.320361362056984,23.349548297428772,2.46357754111793
4.0,14.0,2.0070838252656436,18.772136953955133,2.669045754409942
2.0,6.0,0.64,19.946666666666665,2.567287579063792
5.0,15.0,2.610441767068273,17.202141900937082,2.6937492693075407
8.0,8.0,1.9187358916478554,19.920993227990973,2.5739648664898658
8.0,12.0,2.4683925346177005,19.867549668874172,2.6448343032447936
13.0,7.0,1.9933554817275747,19.53488372093023,2.5932006083975843
14.0,6.0,2.7081922816519977,20.040622884224778,2.6202803820398524
10.0,6.0,2.177971375233354,17.050404480398257,2.6475138618760004
9.0,6.0,1.473922902494331,19.727891156462583,2.5926138016673765
0.0,19.0,3.8793103448275863,19.504310344827587,2.6163504108889923
8.0,6.0,2.037351443123939,19.24165251839276,2.612462512525995
16.0,13.0,3.4482758620689653,21.47610405323654,2.5884125855021733
4.0,6.0,2.141327623126338,19.00428265524625,2.6512794925731376
17.0,6.0,1.6517549896765313,24.845147969717825,2.449196045365519
16.0,6.0,2.920723226703755,21.279554937413074,2.5920253892692204
1.0,15.0,2.013888888888889,18.26388888888889,2.689054578763117
4.0,19.0,3.9319872476089266,17.747077577045697,2.7830902637194237
1.0,6.0,1.5002344116268167,18.23722456633849,2.6174849964936104
7.0,6.0,1.7694063926940637,19.920091324200914,2.6061878514164416
4.0,9.0,1.5064935064935066,20.155844155844154,2.5409614885075333
12.0,8.0,1.856594110115237,20.6145966709347,2.5827824587179493
4.0,7.0,1.940755873340143,17.97752808988764,2.6296449376610194
3.0,7.0,2.1432305279665447,19.236800836382645,2.5927516737188583
0.0,6.0,1.3598326359832638,20.44979079497908,2.609243328903156
11.0,6.0,1.680672268907563,21.068427370948378,2.577311806444859
6.0,6.0,1.7993456924754636,17.829880043620502,2.6221831772312534
19.0,7.0,2.3032629558541267,21.8170185540627,2.512631910583626
13.0,6.0,2.8890347997373604,19.960604070912673,2.5965918748356804
5.0,11.0,2.072829131652661,17.198879551820728,2.6670585070776016
8.0,13.0,3.013530135301353,19.74169741697417,2.6439004608989514
5.0,6.0,1.2687427912341407,19.66551326412918,2.5633477936608657
5.0,14.0,2.310030395136778,17.4468085106383,2.6870899309624794
11.0,8.0,1.7380509000620732,19.615145872129112,2.616018944980897
19.0,13.0,2.6389668725435147,22.852330151600224,2.5420599847500363
14.0,11.0,2.340290955091714,22.137887413029727,2.542183802102325
4.0,8.0,1.992460958535272,21.486268174474958,2.5778396617442705
17.0,12.0,2.9271613342409806,22.26004084411164,2.5726553090330007
8.0,7.0,1.710914454277286,20.058997050147493,2.6012585945759494
5.0,7.0,1.319406267179769,18.471687740516767,2.6119308909693424
10.0,7.0,1.9863438857852265,19.925512104283055,2.6391598779506635
0.0,7.0,2.092511013215859,19.43832599118943,2.6017754134023368
13.0,13.0,2.805376972530684,21.157218001168907,2.5721890552046265
16.0,7.0,2.791014295439074,22.4642614023145,2.5610331169671445
6.0,7.0,1.193058568329718,18.76355748373102,2.5984376684838577
9.0,7.0,2.1070615034168565,20.21640091116173,2.614489873783223
7.0,7.0,1.4656144306651635,20.68771138669673,2.5447893324968587
14.0,7.0,3.417634996582365,21.394395078605605,2.612130351916673
11.0,7.0,1.727328809376928,21.159777914867366,2.585393013539542
3.0,8.0,1.934443847393874,19.344438473938744,2.605319376379048
2.0,7.0,1.9101703665462055,19.256582343830665,2.6115491993872526
9.0,8.0,2.286401925391095,20.33694344163658,2.57881360014921
17.0,7.0,2.2869022869022873,22.59182259182259,2.5787538827517857
15.0,7.0,2.8086218158066623,20.64010450685826,2.583266770295838
1.0,7.0,2.0,18.863636363636363,2.598334202426724
8.0,14.0,2.147239263803681,19.938650306748464,2.6322210696909716
2.0,15.0,1.26078301260783,17.58460517584605,2.6289504093352902
11.0,19.0,4.127682993946065,20.528343423225095,2.712242625469055
12.0,7.0,2.113113735239279,20.012430080795525,2.5902420970431144
15.0,8.0,2.005730659025788,19.770773638968482,2.6182005527971204
16.0,8.0,1.8518518518518516,21.85185185185185,2.574348981659778
10.0,14.0,2.338811630847029,19.911504424778762,2.646394624271533
